additional_information,action,environmental,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified,croatian_kuna,norwegian_krone,japanese_yen,danish_krone,british_pound,american_dollar,swiss_franc,australian_dollar,romanian_leu,swedish_krona,canadian_dollar,new_zealand_dollar,czech_koruna,bulgarian_lev,icelandic_krona,polish_zloty,hungarian_forint
"
Construction of schools and latrinine and washroomy blocks.",0,0,3032,2019,italy,Philippines / Costruction Of Pit Latrines In 13 Schools In The Philippines,philippines,,asia,18745.45,16740.0,18745.45,Committed,Oda,cross-cutting,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"
Project for photovoltaics energy for schools and medical device",0,1,40424,2016,italy,"Angola / Angola / Africa (South of Sahara) / 
Project for photovoltaics energy for schools and medical device",angola,,africa,59358.62,53678.0,59358.62,Committed,ODA,mitigation,Grant,Energy,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" Activities are aimed to exchange scientific and technological know how and strengthen institutional capacity to combat climate change, manage waste and pollution, green economy and resource efficiency.",1,1,39017,2017,italy,"China (People's Republic of) / Secondary high level education programs for sustainable development and environmental management, addressed to local human resources from central and local governments, universities and private sector.",china,,asia,3531408.97,3132359.76,3531408.97,Committed,ODA,cross-cutting,Grant,Other (Environmental policy and administrative management),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
" Activities: awareness of the population and community leaders, training of members of water committees, study of water contamination for human consumption and preparation of actions to reduce contamination.",1,1,39297,2017,italy,Nicaragua / General objective: reduction of the prevalence of chronic renal failure and other consumption-related diseases.,nicaragua,,latin america and the caribbean,22547.91,20000.0,22547.91,Committed,ODA,adaptation,Grant,Water and sanitation,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" Also provided are: educational support to the agricultural institute born from the initiative of the local association partner of the MAWAKI project, food awareness programs in 8 villages for families in starting up gardens and domestic farms",1,0,39182,2017,italy,"Tanzania / The project includes training courses and assistance to farmers and breeders in the districts of Dar es Salaam and Kilolo, in the Dioceses of Dar es Salaam and Iringa.",tanzania,,africa,81355.13,72162.0,81355.13,Committed,ODA,cross-cutting,Grant,Other (Rural development),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" At the same time, the project allows rural communities to promote income-generating activities. The activities will take place especially in the Lebanese community that are particularly affected by the consequences of the Syrian refugee flow",1,0,39106,2017,italy,"Lebanon / The project focuses on the revitalization of the SME sector, agro-industrial and agricultural production cooperative, encouraging the strengthening of production chains.",lebanon,,asia,225479.14,200000.0,225479.14,Committed,ODA,mitigation,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
" Construction of a school building with 4 classrooms, an office, science and chemistry laboratories, sanitary facilities, solar power system, fencing",0,1,8869,2020,italy,Burkina Faso / A secondary school for Kassou - 1° unit of project,burkina faso,,africa,36014.11,31536.0,36014.11,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
 Contribution for allowing the participation of delegations from developing countries to international negotiating processes. ,0,0,39012,2017,italy,Other (Developing countries) / Contribution to UNEP - United Nations Environment Programme to strengthen sustainability objectives of the organization through the participation of delegations from developing countries.,,developing countries,continent_unspecified,5636978.58,5000000.0,5636978.58,Committed,ODA,cross-cutting,Grant,Other (Environmental policy and administrative management),False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
" Furthermore, the launch of low-cost urban gardens and the production of honey and the breeding of goats and poultry will help the population to eat better and live in harmony with nature and with what it can derive from it.",1,1,1881,2018,italy,"India / The project is aimed at the development of the rural population and aims at the renewal of agricultural techniques and livestock breeding, the development of soil quality, training and capacity development to be used in agriculture and farm maintenance.",india,,asia,19636.84,16632.4,19636.84,Committed,ODA,cross-cutting,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
 GEO is also a series of products that informs environmental decision-making and aims to facilitate the interaction between science and policy. ,0,1,39365,2017,italy,"Other (Developing countries) / Contribution to the UNEP GEO6. The Global Environment Outlook (GEO) is a consultative process, participatory process that builds capacity for conducting integrated environmental assessments and reporting on the state, trends and outlooks of the environment.",,"developing countries, global",multicontinent_or_global,13528.75,12000.0,13528.75,Committed,ODA,cross-cutting,Grant,Other (Environmental research),False,False,False,False,False,False,False,False,True,True,False,,,,,,,,,,,,,,,,,
" However, information on which plant remedies are used in particular by women during pregnancy is extremely scarce. Identification of such plants and their validation for anti-plasmodial activity in the murine malaria model are essential first steps in view of developing effective and safe anti-malarial herbal preparations for women during pregnancy.",0,0,39476,2017,italy,Cameroon / Joint PhD scholarship between the University of Camerino and the University of Dschang (Cameroon) : Ethnobotanical studies have allowed to identify a few hundreds of plant species traditionally employed in malaria endemic areas for the prevention and cure of the disease.,cameroon,,africa,7492.22,6645.6,7492.22,Committed,ODA,mitigation,Grant,Other (Health basic),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" In collaboration with the Department of Civil Protection at the Prime Minister's Office and with the CIMA Foundation (International Center for Environmental Monitoring), an Ethiopian Civil Protection delegation held a series of meetings with the Italian Civil Protection with the aim of enhancing the capacity of the local civil protection services to respond to natural or man-made disasters",1,1,2770,2019,italy,"Africa, regional / Ethiopian delegation - meeting with Civil Protection ",,africa,africa,2192.57,1958.0,2192.57,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" In the school will be trained: 160 animators / trainers aged between 17 and 25 years a year; 40 animators aged 17 years. The training will be both theoretical and practical, held by qualified local staff",0,0,39132,2017,italy,Burundi / The project involves the construction of a 'Peace and Human Rights' training school in the territory of Bujumbura in the Great Lakes region.,burundi,,africa,139188.28,123460.0,139188.28,Committed,ODA,cross-cutting,Grant,Other (Education unspecified),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
