additional_information,action,environmental,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified,croatian_kuna,norwegian_krone,japanese_yen,danish_krone,british_pound,american_dollar,swiss_franc,australian_dollar,romanian_leu,swedish_krona,canadian_dollar,new_zealand_dollar,czech_koruna,bulgarian_lev,icelandic_krona,polish_zloty,hungarian_forint
"
Construction of schools and latrinine and washroomy blocks.",0,0,3032,2019,italy,Philippines / Costruction Of Pit Latrines In 13 Schools In The Philippines,philippines,,asia,18745.45,16740.0,18745.45,Committed,Oda,cross-cutting,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
" Also provided are: educational support to the agricultural institute born from the initiative of the local association partner of the MAWAKI project, food awareness programs in 8 villages for families in starting up gardens and domestic farms",1,0,39182,2017,italy,"Tanzania / The project includes training courses and assistance to farmers and breeders in the districts of Dar es Salaam and Kilolo, in the Dioceses of Dar es Salaam and Iringa.",tanzania,,africa,81355.13,72162.0,81355.13,Committed,ODA,cross-cutting,Grant,Other (Rural development),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" At the same time, the project allows rural communities to promote income-generating activities. The activities will take place especially in the Lebanese community that are particularly affected by the consequences of the Syrian refugee flow",1,0,39106,2017,italy,"Lebanon / The project focuses on the revitalization of the SME sector, agro-industrial and agricultural production cooperative, encouraging the strengthening of production chains.",lebanon,,asia,225479.14,200000.0,225479.14,Committed,ODA,mitigation,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
 Contribution for allowing the participation of delegations from developing countries to international negotiating processes. ,0,0,39012,2017,italy,Other (Developing countries) / Contribution to UNEP - United Nations Environment Programme to strengthen sustainability objectives of the organization through the participation of delegations from developing countries.,,developing countries,continent_unspecified,5636978.58,5000000.0,5636978.58,Committed,ODA,cross-cutting,Grant,Other (Environmental policy and administrative management),False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
" However, information on which plant remedies are used in particular by women during pregnancy is extremely scarce. Identification of such plants and their validation for anti-plasmodial activity in the murine malaria model are essential first steps in view of developing effective and safe anti-malarial herbal preparations for women during pregnancy.",0,0,39476,2017,italy,Cameroon / Joint PhD scholarship between the University of Camerino and the University of Dschang (Cameroon) : Ethnobotanical studies have allowed to identify a few hundreds of plant species traditionally employed in malaria endemic areas for the prevention and cure of the disease.,cameroon,,africa,7492.22,6645.6,7492.22,Committed,ODA,mitigation,Grant,Other (Health basic),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" In the school will be trained: 160 animators / trainers aged between 17 and 25 years a year; 40 animators aged 17 years. The training will be both theoretical and practical, held by qualified local staff",0,0,39132,2017,italy,Burundi / The project involves the construction of a 'Peace and Human Rights' training school in the territory of Bujumbura in the Great Lakes region.,burundi,,africa,139188.28,123460.0,139188.28,Committed,ODA,cross-cutting,Grant,Other (Education unspecified),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" It aims at contributing in the improvement of livelihoods, food and nutrition security of the target population in Kassala State, especially for women and youth. By focusing on three strategic components (1. value-chain development and agriculture productivity improvement at the household level; 2. community participation in entrepreneurship development; and 3. access to finance through local microfinance institutions), the project plans to create sustainable job opportunities and foster inclusive economic growth in the project target areas. Over a time-span of 12 months, the project will benefit around 1,000 households and in particular small-scale farmers, micro-enterprises, women and young people by partnering with public institutions, local community-based organizations and the private sector.",1,0,39101,2017,italy,Sudan / Sudan - The project builds on the results and recommendations stemming from a FAO-UNIDO jointly implemented initiative between 2011 and 2014.,sudan,,africa,248027.06,220000.0,248027.06,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" It intends to promote preventive actions to irregular migration in identified areas with a high incidence of it. Primary actions will facilitate access to alternative forms of subsistence at points of departure and an increased number of job opportunities specifically targeted to youth and rreturnees. The project also aims at improving living conditions of migration process’s most vulnerable categories by ensuring protection and assistance to vulnerable and stranded migrants and returnees. In addition, the initiative plans to put in place an accurate awareness raising campaigns and a reliable collecting data on migration.The Initiative will focus its intervention in Senegal, Mali, Guinea, Guinea Bissau and Gambia. The projects within the framework of the Initiative can  be both:  single country or multi- countries (transboundary)",1,0,39031,2017,italy,"Other (South of Sahara) / The multi-sectorial initiative aims at mitigate the root causes of the irregular migration at regional level through specific intervention on local development, training, job creation and resilience reinforcement .","gambia, mali, senegal",,africa,1352874.86,1200000.0,1352874.86,Committed,ODA,adaptation,Grant,Other (Emergency response),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
 It is proposed that approximately 250 farmers (50% women) be trained in self-employment to facilitate entry into the market and improve their living conditions. Training courses in agricultural techniques will also be started to improve production. A credit fund is available which will be made available to young people to start business activities.,1,0,39123,2017,italy,"Ecuador / Project for the integral development of indigenous, peasants and Afro-descendant communities of Ecuador.",ecuador,,latin america and the caribbean,172572.72,153072.0,172572.72,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" Objectives of the project are the strengthening of the capacities of the communities of active citizenship and the local and regional actors in methodologies and techniques for the development, the enhancement of the identity and culture of the communities, the improvement of economic activities in the rural sector of agricultural tourism and crafts",1,0,39122,2017,italy,"Argentina / Project for the promotion of eco-sustainable tourism to improve the living conditions of the population, in 7 regions of the north-west of the country on the territory of 4 dioceses.",argentina,,latin america and the caribbean,175296.96,155488.4,175296.96,Committed,ODA,cross-cutting,Grant,Other (Tourism),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
 Project of agricultural and rural development training,0,0,40591,2016,italy,Colombia / Colombia / America (South America) /  Project of agricultural and rural development training,colombia,,latin america and the caribbean,104946.37,94903.0,104946.37,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
 Rice and Kitchen Gardens: policies for co-development. The project has a development strategy aimed at achieving food self-sufficiency in local communities of  Koubalan and Kondokhou  strengthening the supply chain of the rice and the vegetable.,1,0,40262,2016,italy,"Senegal / Senegal / Africa (South of Sahara) / Sustainable Agriculture and Biodiversity: Rice and Kitchen Gardens, co-development practices",senegal,,africa,4423.31,4000.0,4423.31,Committed,ODA,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
 Some Cuban experts visited the CIMA Foundation and talked about possible synergies.,1,0,39574,2017,italy,Cuba / CIMA Foundation has maintained contacts with the Agencia de Medio Ambiente of Cuba. Agencia is currently developing a platform of similar characteristics to DEWETRA.,cuba,,latin america and the caribbean,901.92,800.0,901.92,Committed,ODA,adaptation,Grant,Other (Disaster prevention and preparedness),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" Specific objective: increase of the quality of the health services of proximity through training activities and strengthening of the skills of social and health personnel, actions to raise awareness of the population of health and hygiene issues, infrastructural interventions to provide local health centers with electricity and a cold system for medicines.",1,0,39543,2017,italy,Chad / General objective: reduction of infant and maternal mortality and improvement of the health conditions of the rural population.,chad,,africa,2029.31,1800.0,2029.31,Committed,ODA,mitigation,Grant,Energy,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The Project will be focused on improving production and marketing of agriculture high value-chain, such as saffron, dairy products, horticulture products and possibly other products chosen by the beneficiaries at community level. The project will facilitate the small agroproducers to establish Common Interest Groups (CIG) with a view to improve economies of scale and market linkages with the private sector aimed at the commercialization of high value chain products.

The project is targeting a total of approximately 5,000 farming direct beneficiaries, which implies approximately 30,000 indirect beneficiaries (average of 6 members per family). The priority of high value chain products is within the “National Comprehensive Agriculture Development Priority Program” of Agriculture and Rural Development cluster and it was discussed at the conference in Brussels on 5th October 2016. The Project is in line with the Sustainable Development Goals 1 and 2, UN 2015-2030.",1,0,39187,2017,italy,"Afghanistan / The Project aims to improve agricultural production, productivity and marketing of small agro-producers in the two provinces of Herat and Bamyan in Afghanistan through the provision of agriculture services and inputs adopting a decentralized “Extension system” mechanism applied by MAIL at Provincial and District level.",afghanistan,,asia,76239.01,67624.0,76239.01,Committed,ODA,mitigation,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The aim is to improve and increase the skills of young rural trainers for the promotion, negotiation and relations with public and private institutions that deal with the development of young people, through three training phases for a total period of 18 months ( 6 for the first phase, 8 for the second and 4 for the third).",1,0,39325,2017,italy,"Chile / Project for the training of youth trainers from the rural areas of the four Dioceses of Chile involved in the project (San Felipe, Melipilla, Rancagua and Linares).",chile,,latin america and the caribbean,17257.72,15307.6,17257.72,Committed,ODA,cross-cutting,Grant,Other (Rural development),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The creation of models will be the task of schools, with exercises and planting of small plants.",1,0,1638,2018,italy,"Somalia / The project allows refugees in 4 camps close to the Ayuub village for orphans in the Merca area of Somalia to support themselves, at least in part, by expanding cultivation of Prosopis juliflora, which produces grazing and fodder, creating models for the rearing of goats.",somalia,,africa,56073.67,47494.4,56073.67,Committed,ODA,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The families involved are in situations of extreme poverty and their main source of income is the breeding of alpacas and sheep. We want to improve the breeding techniques of these animals, halving the times of production processes and improving the techniques of trade.",1,0,39147,2017,italy,Peru / Project for the implementation of a series of training and awareness activities aimed at improving the quality of life of families of sheep farmers in the Altoandine communities.,peru,,latin america and the caribbean,118798.2,105374.0,118798.2,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The goal is to increase and promote the food and economic autonomy of the population, through techniques of cultivation and breeding of local products to be implanted on the territory by creating a marketing network, the construction of a seedling, a pigsty, for the purchase of equipment and seeds and for the development of a dense program of workshops and training meetings.",1,0,39166,2017,italy,Colombia / The project is aimed at the Nasa population living in the three districts of the Municipality of Toribio and the students of the Agroecological school of CEDIC.,colombia,,latin america and the caribbean,102329.2,90766.0,102329.2,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The initiative will promote the improvement of the life conditions of the Eritrean refugees, women in particular, living in the camps and hosting community in the Tigray Region (Shire Area) by providing reception and protection support, qualityhealth and education services, livelihood opportunities and assistance.",1,0,39042,2017,italy,Ethiopia / The initiative aims to contribute torespond to the current humanitarian crisis caused by the huge outward migration of Eritrean refugees from Ethiopia and the constant influx of asylum seekers from Eritrea.,"ethiopia, eritrea",,africa,901916.57,800000.0,901916.57,Committed,ODA,cross-cutting,Grant,Other (Emergency response),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
 The local catholic mission will grant use of some of its buildings as storing and processing sites and as laboratories for training classes. ,1,0,39444,2017,italy,"Democratic Republic of the Congo / The project’s objectives are: training villagers on the best agricultural and  breeding practices and helping create rural cooperatives supported by micro-financing, with special focus on women; starting up a fish breeding plant; building cattlesheds and henhouses; purchasing farm animals, seeds, horticultural tools and plants.",congo,,africa,9019.17,8000.0,9019.17,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The main objective was to contribute to the support of the families in the Southern region of the country, where great damages to land and homes were registered. In order to reach the goal: (i) seeds were given to a number of farmers; (ii) different materials were provided to families to rebuild their homes.",1,0,39545,2017,italy,Haiti / The project  was developed in order to respond efficiently to the needs of the Haitian population after Hurricane Matthew hit the island in 2016.,haiti,,latin america and the caribbean,1803.83,1600.0,1803.83,Committed,ODA,cross-cutting,Grant,Other (Education post-secondary),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
 The meetings will also be accompanied by assembly moments to raise awareness among rural entrepreneurs about the opportunity to network to be more effective on the market.,1,0,39231,2017,italy,Albania / The project involves a series of training activities to improve production conditions and access to the market for 10 rural businesses.,albania,,europe,46189.4,40970.0,46189.4,Committed,ODA,cross-cutting,Grant,Agriculture,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
" The program will focus its interventions in Diffa Region (Niger), Borno State (Nigeria), North Camerun and Lac region (Ciad)",1,0,39028,2017,italy,"Other (South of Sahara) / The Program aims at providing assistance to refugees, IDPs, returnee populations and hosting communities affected by Boko Haram terrorist group and by adverse climatic events in order to improve their living conditions, strengthening their resilience, food security and nutrition, and access to protection, education and health services.","niger, nigeria",,africa,1488162.34,1320000.0,1488162.34,Committed,ODA,adaptation,Grant,Other (Emergency response),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The project involves the equipment of the Medical Centre Maria Elisa Andreoli of Abidjan Riviera Palmeraie, to allow even the poorest to receive health care.",1,0,8967,2020,italy,Côte D'ivoire / Equipment of the ecodoppler laboratory for the Maria Elisa Andreoli medical center in Abidjan,côte d'ivoire,,africa,19543.27,17113.2,19543.27,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The project involves the purchase of 200 chairs, 6 tables and 6 chairs for teachers, as well as the preparation of a multipurpose room, a teacher's office and an anti-disaster shelter.",1,0,39205,2017,italy,"Philippines / Renovation of an orphanage where to set up a basic elementary school for about 200 handicapped and orphaned children, even abandoned, and children victims of typhoons and the frequent calamities of this area.",philippines,,asia,63387.6,56224.8,63387.6,Committed,ODA,cross-cutting,Grant,Other (Education unspecified),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
 The request for the extension of the number of lodgings for teachers comes also from the Government of Malawi itself that participates in the expenditure together with the diocese.,0,0,39229,2017,italy,"Malawi / Project for the renovation and reopening of the technical-professional school, seriously damaged by the last hurricane, as well as the extension of the rooms with toilets for the students, a kitchen and a dining hall.",malawi,,africa,47263.81,41923.0,47263.81,Committed,ODA,adaptation,Grant,Water and sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The set-up involves the construction of chicken coops, vegetable gardens and plantations, as well as the preparation of rooms with educational functions.",1,0,39225,2017,italy,Venezuela / Preparation of a center to educate the local population in the fight against food emergency and child malnutrition.,venezuela,,latin america and the caribbean,51289.74,45494.0,51289.74,Committed,ODA,cross-cutting,Grant,Other (Health basic),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The structures will be the point of reference for the students of the Politecnico but will also help the rural populations to acquire greater awareness and independence thanks to the means of communication. The internship of 100 students per year at the two centers is also planned, together with the planning and offering of an apprenticeship program for 50 rural young people",1,0,39097,2017,italy,"Kenya / The project presented by the Comboni Professional School of Gilgil concerns the construction in the villages of Kericho, Baringo and Nakuru of communication, information and reproduction centers to be connected to the existing school which currently hosts about 600 students.",kenya,,africa,269493.8,239041.0,269493.8,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
 There are about 23 training activities and two economic support for girls for access to university studies (8 scholarships and 4 honor loans).,1,0,39181,2017,italy,"Tanzania / The project is presented by the Volunteer Community for the World. The design idea is of a training nature and ranges from the micro-credit field, to the agricultural, to the sanitary and to the business environment.",tanzania,,africa,81364.15,72170.0,81364.15,Committed,ODA,cross-cutting,Grant,Other (Education secondary),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" Through this project, we also support activities aimed at developing economic and tourism partners in a rural area with strong emigration of youth.",1,0,39177,2017,italy,"Lebanon / The project supports the protection of the Valley of Qadisha (1988 UNESCO World Heritage), the promotion of networking activities, the  conservation and restoration of cultural and religious sites, the development of sustainable tourism.",lebanon,,asia,87936.87,78000.0,87936.87,Committed,ODA,cross-cutting,Grant,Other (Site preservation),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
" Training on nutrition and education for the families involved, strengthening activities for groups of women engaged in agriculture in order to constitute formal cooperatives.",1,0,39381,2017,italy,Rwanda / Start-up and strengthening of eco-sustainable agricultural activities at the domestic level.,rwanda,,africa,13213.98,11720.8,13213.98,Committed,ODA,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"""""Support for moroccan civil society"""" -the project aims to promote institutional social dialogue and consultations with civil society.",1,0,9432,2020,italy,Morocco / Support for moroccan civil society,morocco,,africa,6920.43,6059.92,6920.43,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"""Gardens of the Road"" is a multi-sectoral intervention of food security, inclusive and integrated approach to facilitate access to food, the integrated management of disease and malnutrition, promoting behavioral changes, the consolidation of policies aimed at ensuring the application the right to food as a fundamental human right, in the district of Dagoretti (Nairobi, Kenya).",1,0,40255,2016,italy,Kenya / Kenya / Africa (South of Sahara) / Gardens of the road,kenya,,africa,14801.08,13384.62,14801.08,Committed,ODA,mitigation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
".The project,in particular,will provide the Bosnian authorities with the capacity development activities for the accreditation of new phytosanitary protocols and some specific equipment for the involved laboratories",1,0,39124,2017,italy,Bosnia and Herzegovina / The initiative aims at strengthening the authoritioes competent for the phytosanitary system to upgrade it and align with European standards,bosnia and herzegovina,,europe,169334.84,150200.0,169334.84,Committed,ODA,cross-cutting,Grant,Agriculture,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
"3 Scholarships awarded by the University to PHD foreign students in Viet Nam, to give them opportunity to complete their education, opening the doors to further education, vocational training and studies.",1,0,9791,2020,italy,Viet Nam / Scholarship to PHD  foreign students (Viet Nam),viet nam,,asia,22200.48,19440.0,22200.48,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
300 boys attending secondary school can live in the residence hall,0,0,40335,2016,italy,Tanzania / Tanzania / Africa (South of Sahara) / purchase  of a drinking water purifier and provision of a water collection tank,tanzania,,africa,38703.97,35000.0,38703.97,Committed,ODA,adaptation,Grant,Other (Education Unspecified),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"4 webinars organized by the UNDRR dedicated to risk reduction on the African continent. The webinar was open to the public but aimed above all at sector experts, donors and representatives of international organizations. The intervention of CIMA focused on how risk profiles can help to develop and improve standard operating procedures for early warning systems",1,0,9673,2020,italy,"South of Sahara, regional / Webinar on Disaster Risk Reduction in Africa",,africa,africa,1370.4,1200.0,1370.4,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
80% of everyday mobility in African cities is supported by informal inefficient and unsafe mobility systems that hinder the development of these areas. The project explores bottom-up place based replicable solutions based on the collection and analysis of big data alternative and complementary to traditional public policies and huge infrastructural investments.,1,0,9443,2020,italy,Mozambique / SAFARI NJEMA - From paratransit mobility to mobility policies through big data analysis,mozambique,,africa,7373.89,6457.0,7373.89,Committed,Oda,mitigation,Grant,Transport,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
A civil protection national team has been deployed for the following activities: damage assessment on strategic public facilities and private buildings and technical assistance to local experts conducted by Italian fire fighters. ,1,0,40128,2016,italy,Ecuador / Ecuador / America (South America) / Support for the earthquake emergency started April 2016,ecuador,,latin america and the caribbean,16309.63,14748.8,16309.63,Committed,ODA,cross-cutting,Grant,Other (Recontruction relief and rehabilitation),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
A number of actions - such as publications; itinerant caravan CinemArena and events - will be implemented in order to highlight the Italian commitment and enable the development of a dynamic communication strategy that will highlight the achievements of Italian support in Palestine.,1,0,39114,2017,italy,"West Bank and Gaza Strip / The one-year project proposal aims at enhancing the visibility of AICS core activities in Palestine in the three priorities sectors - Gender Equality and Women’s Empowerment (GEWE), Economic Development and Health – and increasing the Palestinian and Italian public awareness of AICS activities. 
","palestine, state of",,asia,216459.98,192000.0,216459.98,Committed,ODA,cross-cutting,Grant,Other (Promotion of development awareness),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"A study for the integrated territorial development of the regions Boane, Moamba and Namaacha, with Matola and the ""Maputo corridor” towards South Africa; with Università Mondlane and AICS Maputo.",0,0,3002,2019,italy,"Mozambique / BOA_MA_NHÃ, Maputo!",mozambique,,africa,156772.0,140000.0,156772.0,Committed,Oda,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
