ESGBERT/EnvRoBERTa-environmental_label,climatebert/environmental-claims_label,climatebert/renewable_label,all,additional_information
0,0,1,1,Relocation Project
0,0,0,0,"The multi-countries initiative aims to protect the most vulnerable populations in Senegal, Guinea Bissau, Guinea, Gambia and Mali, focusing  on those at risk of displacement , displaced, irregular migration, refugees and returnees."
1,0,0,1,Contribution to the UNDP for Agenda 2030
0,0,0,0,"Emergency intervention in favor of refugees, IDPs, returnee populations and hosting communities affected by the Lake Ciad humanitarian crisis"
0,0,0,0,"The Humanitarian Programme aims at protecting the most vulnerable Palestinians living in the Gaza Strip, Area C of the West Bank, East Jerusalem, Hebron H2 and UNRWA Camps, including refugees and those at risk of forcible transfer, strengthening their preparedness as well as their capacity to respond to the recurrent crises and shocks."
1,0,0,1,– education and research aimed at water resources quality and quantity monitoring and modeling and on the related psychosocial problems
0,0,0,0,"The aim of the program is to contribute to the success of the children in Tunisia, particulary thr most disadvanted, in terms of education, well-being, employability and social inclusion. To this end, a series of activities are envisaged by this program with thr specific objective of strenghthening the capacities of the Tunisian Ministry of Education through a transfer of experise, allowing a more trasparent, efficient and decentralized management of the education sector since the preparatory class and an improvement in teacher training and children skills."
1,0,0,1,Emergency Initiative Supporting Environmental Displaced Persons and Host Communities to Strengthen Resilience in Oromia and Somali Regions in Ethiopia
1,0,0,1,"Construction of two kindergartens and a multipurpose room in Ngelebanga, a rural area of the diocese of Kikwit where 80% of the population is illiterate, especially women. The current buildings in straw and hay are unsafe buildings, which expose children and teachers to constant dangers and bad weather. The schools will be built in masonry and will be equipped with a multi-purpose hall with 550 seats for meetings, conferences, theatrical performances and various events, as well as toilets, a cistern in masonry and a plastic, a generator for electricity and solar panels , a satellite dish and a television as there is no television in the area."
0,0,0,0,"The project aims at increasing the potential for economic opportunities and job creation in the productive sectors of the Central and Southern regions of the Somalia by focusing on four key actions: 1-promotion of agro-technology upgrading and entrepreneurship development; 2- delivery of vocational and technical skill trainings in trades providing support services; 3- facilitate access to technology, markets and finance; 4- provide institutional support in the area of agro-industrial technology transfer, investment promotion, entrepreneurship development."
0,0,0,0,"The persistence of the humanitarian crisis in Libya has severely undermined child protection systems. The crisis has had profound consequences on children's rights, weakening national institutions, basic services, including schools and social structures, and thus the realization of children's rights, jeopardizing their physical and cognitive development. The project aims to strengthen child protection systems in Libya by promoting a favourable legal and social environment for a rights-based, fair, democratic and inclusive governance, with a particular focus on the rights of the child."
1,0,0,1,"The project aims at supporting the Government of Jordan efforts to counteract the negative economic and social consequences of the Syria crisis in the Country, by providing access to employment opportunities to both Syrian and Jordanian youth through contributing to the implementation of priority conservation and preventive mitigation interventions in the 'Siq' of Petra."
0,0,0,0,"FASE contributes to the financing of the education sector at the national level of about 20% . It has proved to be a key instrument for the realization of the priority activities identified by the Strategic Plan for Education 2012-2016, now extended to 2019"
0,0,0,0,"Bekou Fund is a trust Fund dedicated to supporting the socio-economic reconstruction process in the Central Afric Republic.

The main objective  is to support the resilience of vulnerable populations and to encourage the RCA stabilization process consistently through short-medium and long-term actions"
0,0,0,0,"The project aims at providing vulnerable women in Egypt, Lebanon and Jordan with the necessary tools to achieve economic and social empowerment by creating concrete job and income opportunities. It will be done through specialized trainings aiming at enhancing/starting up their economic businesses, thanks to endowment funds and access to credit."
0,0,0,0,supporting the resilient and inclusive development of the Districts of Lugela Derre Namarroi and Gilé in Zambezia - Mozambique
0,0,0,0,"small producers network for sustainable production of coffee, cocoa and quinoa in Ecuador"
0,0,0,0,Out of the Street-Integrated program for child protection through creation of Gardens of the Road and CSO of Dagoretti  empowerment
0,0,0,0,Food security and resilience of vulnerable households in Burkina Faso
1,1,0,2,Community Action aimed at conservation of protected areas in Albania
0,0,0,0,"Building on the results of Phase I of the “Supporting the development of Industrial zones in Lebanon” project, the proposed project phase II aims at continuing the assistance to the country and the Ministry of Industry in establishing modern industrial zones in Lebanon.  The project will be tasked to:

- Provide technical assistance and advisory support to the Government of Lebanon in implementing the master-plans designed during phase I of the project and in deploying a National Industrial Zones development strategy,

- Enhance the capacity of the government of Lebanon on industrial zones development and management.

The Ministry of Industry of Lebanon has identified the development of modern business infrastructures as a catalyst to improve the country’s business environment and investment climate, as well as the competitiveness of its enterprises. Industrial zones can indeed offer a combination of developed land, infrastructure and services that allow businesses the long-term assurance to conduct operations in a stable and conducive environment."
1,0,0,1,"Aj Quen Guatemala, an association of indigenous women, must be converted: from textile crafts to organic farming. Starting up of the production of compost, avocados, baby organic bananas and vegetables is planned (with certification of organic production), and sale internally and abroad. Demand is channelled by Ctm Agrofair. The supplies come from 18 basic associations – 550 people. Sales of 20 t of avocados a week (for export), and 3 t of compost and 15 t of vegetables a month are expected."
0,0,0,0,"The present initiative is building up on the success of the first three phases of the project ""Community Empowerment and Livelihoods Enhancement Project (CELEP)"", implemented by UNIDO and financed by the Italian Cooperation and will support the agro-industrial sector above all through the enhancement of aspects like innovation and creativity. Through the three phases of the CELEP, 68 MSMEs and 20 agricultural cooperatives were rectly supported by specialized equipment, civil works and capacity building development and more than 2000 Households benefited indirectly from the project activities. The initiatives supported the beneficiaries to cope with the crisis and training unemployed affected communities on market oriented professional skills in technical sectors."
0,0,0,0,"from a subsistence activity to a business providing income, with the introduction of multiannual crops.  Fruit-growing training for 750 small Ugandan farmers in the West-Nile (each with a 2500 m² lot); supplying of a basic kit to set up a fruit nursery and support with visits in the field. Presence of a network of local technicians guaranteeing support in the field and planning of agricultural development, in agreement with local administrations."
1,0,0,1,"The project aims at supporting the protection of Mrauk-U heritage site in Rakhine State. The project strategy, identified by UNESCO inpartnership with AICS Yangon, intends to sustain the Myanmar authorities in enhancing the heritage values and strengthen the conservation of the Mrauk-U monuments while addressing the common challenges linked to the development pressure. In order to tackle these issues, the Project aims to build the capacity of relevant stakeholders in both management and community engagement. In addition, the Project also focuses on further research which will contribute to a better understanding of the site values."
1,0,0,1,"The project is to set up a training centre, to train human resources on conservation and management of archaeological and cultural heritage sites. These professionals will ensure the proper management of archaeological sites and the protection and enhancement of the Vietnamese cultural heritage. Over the 30 months of project implementation, several training courses will be conducted: two for fresh university graduates, young civil servants and young professionals; two for workers on archaeology and architectural restoration; one for the future teachers."
1,0,0,1,"The Action intends to capitalize on the research, training and communication results of the AMITIE project (Awareness raising on MIgrations, developmenT and human rIghts through local partnErships) and on the successful experiences of development cooperation between European and African cities, to ensure the commitment of European local governments and to strengthen the European citizens' engagement in the post-2015 development agenda, through informal/non-formal education and participatory visibility actions. The focus on the migration and development nexus and on partners’ experiences of cooperation between Europe and Africa intends to ensure the Action’s effectiveness by linking the development objectives to the visible causes and consequences of migrations, such as climate change, human rights concerns or the demographic change in European cities."
0,0,0,0,The International School on Nuclear Security takes place annually in Trieste/Italy provides young professionals from developing countries with in-depth knowledge on the relevant international legal framework; instruments for physical protection of nuclear facilities and methods for threat and risk assessment. A training initiative launched by Italy with the IAEA and the Trieste ICTP
1,0,1,2," The building will be able to protect the 425 students who take advantage of the playing space from solar irradiation, as well as guaranteeing the construction of a court that can be used for multi-purpose uses."
1,1,0,2,"The project increases food safety and access to water, both for consumption by inhabitants and for irrigation, using sustainable methods and technology in line with requirements, in association with local players."
1,0,1,2," The creation of models will be the task of schools, with exercises and planting of small plants."
0,0,0,0,Over 60.000 street children and 22.000 minor refugees live in Nairobi urban area. 
1,0,0,1,A campaign to sensitize the local population to health education and water diseases will also be promoted.
1,0,0,1,"Specifically, provide the community with the opportunity to have a good service of drinking water and strengthen the bonds of the families of the Caundy community, involved in the realization of this project (110 families 660 people in the district)"
0,0,0,0,The project is part of a global demographic and epidemiological landscape dominated by a rapid growth in the incidence of chronic diseases. 
0,0,0,0,"the project intends to strengthen the capacities of Tunisian, Moroccan and Emilia-Romagna local authorities and civil society in the areas listed above."
1,1,0,2,"The project aims to draft a comprehensive feasibility study for the closure of the informal dumpsite and construction of an integrated solid waste management facility in Ngong Town, Kenya"
1,1,0,2,"The project aims at implementing the comprehensive feasibility study for the closure of the informal dumpsite and construction of an integrated sustainable waste management facility in Kajiado County, Kenya. "
0,0,0,0,"Through this project, we also support activities aimed at developing economic and tourism partners in a rural area with strong emigration of youth."
1,0,0,1," Furthermore, the launch of low-cost urban gardens and the production of honey and the breeding of goats and poultry will help the population to eat better and live in harmony with nature and with what it can derive from it."
0,0,0,0,The final goal consists in enabling beneficiary NRAs to properly assess the market integration design proposal that will be submitted by the Transmission System Operators and Power Exchanges (PXs) of each involved country.  
0,1,0,1,"The Project will strengthen the sustainable family economy of the Amazonian communities, promote organizational strengthening, commercialization and capacity building to ensure the inclusion of a sustainable production system and the self-management of economic organizations. The initiative will be implemented through the establishment of an Expert Fund."
0,0,0,0,The local catholic mission will grant use of some of its buildings as storing and processing sites and as laboratories for training classes. 
1,1,0,2,"Also, WOSA will increase and diversify agricultural production and introduce farming practices sustainable for the population of the district of Gumbo."
0,0,0,0,"The course deepened the main themes of management, together with the fundamental teachings,  for the conduct of research in the social sciences and adoption of advanced technologies, technology transfer, the creation of new businesses."
0,0,0,0,Four technicians from Libya attended the training course for two months in Italy.
0,0,0,0,Open to engineering and social sciences students
0,0,0,0,"It will be implemented in the South Governorate of Lebanon and aims at supporting the Lebanese and Syrian communities through the creation of water and sanitary infrastructures at family, community and institutional level."
1,0,0,1,"The objective of the project is to reduce poverty and the root causes of irregular migration through support for the rural economy in the Louga, Saint Louis and Thiès regions, the creation of jobs in the peasant agriculture sector, giving priority to young people and
women and social and ""green"" initiatives, improving access to credit for rural micro businesses and defining the characteristics of social enterprises and enhancing their contribution to the economic, social and cultural development of the territor"
1,0,0,1,"The activities planned in the project are the following:
In the house of street children Providence Home - Barasat.
- Furniture for the subdivision of promiscuous common areas in spaces reserved for older children, and other minor ones.
- Purchase of vehicles for 7/9 people.
- Construction of 1 well water filtering system; realization of 1 solar plant for the production of hot water; realization of 1 photovoltaic system; installation of mosquito nets to all windows; renovation showers and toilet girls; other maintenance work.
- After school and complementary activities for primary school children for 3 years.
- School fees for secondary school girls for 3 years.
- Psycho-therapeutic support for 3 years.
- Creation of 3 annual courses of cutting and sewing.
- First and second level school education at the school ""St. Luigi School ""by Barrackpore: the project provides for the payment of the salary of teachers (22) for 5 months, ie from December 2017 (start date of our project) to April 2018 (date of conclusion of the school year 2017/18).
- Creation of 3 annual courses of cutting and sewing at the Knitting and Tailoring School of Barrakpore.
"
0,0,0,0,The network originated by an agreement with the University of Pretoria (South Africa) and the partners are: University of Gezira – Sudan; Applied Science Department – Mutare Polytechnic – Zimbabwe; Department of Botany - University of Zululand - South Africa; Catholic Relief Services – Palestine; Faculty of Agriculture – Hebron University – Palestine; Dire Dawa University – Ethiopia; Haramaya University - Ethiopia; Ambo University - Ethiopia; University of Nairobi - Kenya. The founding Universities have consolidated research experience at both the national and international levels.
0,0,0,0,"Saywa also provides funding for formal measures in favor of formal economy, identified by 5 associations of interest in dialogue with local actors"
0,0,0,0,"The main objective is to ensure free access to medical treatment for Syrians in poor conditions,"
1,0,0,1,Water well with reservoir for local population
1,0,0,1,"Provision of agricultural materials and equipment in favor of the Department of Agriculture, Irrigation and Breeding"
0,0,0,0,"Contribution to the construction of the Khafa-Herat railway project, 4 Segment - Second phase                                                                                                                                                                                                                                                                                                                                                                                                                       "
0,0,0,0,"These agreements promote the exchange of faculty, students, technical and administrative staff in a specific field of study and research, and other types of collaboration."
0,0,0,0,"The project intends to finance the activities included in the Strategic Plan for Somalia (IOM), on three strands: humanitarian action, recovery of population resilience through actions on a community basis, improving the wellbeing of society and migrants through long-term strategies, including the involvement of the diaspora"
1,0,0,1,"Promote the role of local authorities and strengthen the capacity of civil society organizations in the pathways of development of territorial economic systems and the creation of favorable conditions for the creation of opportunities of employment and in the governance of services );increase the employability of the younger age groups partner African communities, in a context of environmental, economic and social sustainability."
0,0,0,0,Meeting on Africa-Europe cooperation
0,0,0,0,"Contribution to the Carabinieri Corps for the organization of training courses on ""Respect for human rights in police activities"", ""First counter-terrorism intervention rates"" and ""Protection of Cultural Heritage"" in favor of the Police Forces of Ethiopia, Rwanda, Kenya and Uganda."
0,0,0,0,"Contribution to the Community of S. Egidio for the ""New Visions of Africa 2019"" project."
1,0,0,1," In collaboration with the Department of Civil Protection at the Prime Minister's Office and with the CIMA Foundation (International Center for Environmental Monitoring), an Ethiopian Civil Protection delegation held a series of meetings with the Italian Civil Protection with the aim of enhancing the capacity of the local civil protection services to respond to natural or man-made disasters"
1,0,0,1,Provide the rural communities of Albania with an efficient model of tourism development and an instrument for disseminating skills for a social and economic development through the conscious and sustainable use of natural resources and the valorization of the traditional cultural heritage.
0,0,0,0,"The goal of the project is to promote the empowerment of the people with psychic disability enabling them to autonomously live a dignified life. (S.O.) Through the implementation of the activities the psychic disabled will be followed in a process of rehabilitation, professional training, and re-integration in an aware society. Beginning with the needs identification of the person with psychic disability we will offer the most appropriate services and a rehabilitation path aimed to improve the capabilities and professional skills supporting the economic and social re-integration. Concerning the services, the partners will work to strengthen the public intervention system for people in condition of exclusions and with psychic disability in the District of Tirana, through the creation of a daily rehabilitation centre. (RA1) In the centre, an help desk for counselling and social secretariat will advise people in need to the existent services. In parallel, it will be organized an outreach street service to reach people in particular condition of need. In order to foster the social re-integration, the inclusion of young and adults with psychic disability will be improved, trough the predisposition of customised pathways of social re-integration. (RA2) The partners will work with the Mental Health Centres in order to identify the people with psychic disability who need a re-integration path and to draft the mental health plans. These paths will focus on the individual in any condition and will encourage selfdetermination, solidarity, possibility of positive change, selfacceptance, acceptance of the others, and of the external world, the sense of initiative and finally the independence, with a biopsychosocial perspective of the disability. The programs will support the empowerment of soft, cognitive, interpersonal and intrapersonal skills and capabilities. Moreover, the person with psychic disability will be followed in the path of re-inclusion in the family or in an autonomous residential context. In order to improve the employability of people with psychic disability (RA3) will be organized professional training courses and will be realized orientation interviews and workshop on how to write a CV. Additionally, will be created networks of organizations sensitive to the thematic of psychic disability. In order to reduce exclusion and social stigmatization of people with disability, we will work in order to raise awareness of the community and the local institutions to make them willing to develop inclusive cultures and practices in the society. (RA4) It will be organized an international conference, aimed to foster the exchange of best practices in the field of re-inclusion of disadvantaged people and an awareness-raising campaign in Tirana. Furthermore, paths of competent volunteering will be carried out to promote non-discrimination and an inclusive culture of the disability."
0,0,0,0,The project aims at strengthening the economics activities and the role of  local communities in promoting their territorial Heritage.
0,0,0,0,"Overall objective is to strengthen the capacities of CSO's in Albania in promoting good governance of rural development, through capacity building and active participation. The specific objective is to promote rural civil society’s identification and implementation of concrete actions in Korçë County for a strong, good and citizen’s oriented model of rural development, supporting an active and competent society that also enables the participation of rural communities"
0,0,0,0,Research activity in Economics and Management
0,0,0,0,"This project aims to create a synergy between sports activities and human rights. The right to movement for all: children, women, adults, disabled people, will be a tool for the acquisition of global citizenship.The Sport Ministry will promote quality sports services through the training of managers, educators and sports communicators. The training is organized in collaboration with the Sahrawi sports school and a first edition of a non-competitive walk for all Human Rights will be organized. "
0,0,0,0,Rural Development and Food Security Programme for the Saharawi People
0,0,0,0,"Improve the nutritional status of the Sahrawis through the support of community gardens which, can enrich the diet of the beneficiaries."
0,0,0,0,training and post-school activities for children and young people
0,0,0,0,Research activity in Antropology
0,0,0,0,Research activity in Mathematics
0,0,0,0,Research activity in Philosophy
0,0,0,0,Research activity in Bio-informatics
0,0,0,0,"Research activity in  Philosophy, Sociology, Education and Applied Psychology"
0,0,0,0,Research activity in Bio-Medicine
0,0,0,0,"Drilling of six wells in Wakotebou, Pentiko, Kouya, Koukwobirgou, Bampora, Cotiakou, Brignamarou, Department Atacora Nallou, Department Borgou"
0,0,0,0,Creation of an agro-pastoral farm with an increase in animal and vegetable production accessible to all sections of the population
1,1,0,2,The initiative aims at the development and the sustainable use of the natural and cultural heritage as well as at the use of new technologies in the sector of the community tourism in order to achieve the economic development of the rural communities along the INCA trail
1,0,0,1,"The project aims at increasing the economic and political power of the farmer families belonging to the community of Cochabamba and Tarija by strengthening their ecological competencies, production and marketing skills"
1,1,0,2,"This project proposal aims to contribute to improving the socio-economic development of the
Bolivian communities of Tiquipaya and Sacaba and the living conditions of their population through the strengthening a community economy as an opportunity for a sustainable, inclusive and solidarity local economic development in order to contribute to the implementation of the Agenda 2030 goals for sustainable development."
