additional_information,ESGBERT/EnvRoBERTa-environmental_label,climatebert/environmental-claims_label,climatebert/renewable_label,all,relevant_for_the_environment,reason,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified
"The multi-countries initiative aims to protect the most vulnerable populations in Senegal, Guinea Bissau, Guinea, Gambia and Mali, focusing  on those at risk of displacement , displaced, irregular migration, refugees and returnees.",0,0,0,0,unclear,"The project focuses on vulnerable populations and migration issues, no explicit environmental component mentioned.",1267,2018,italy,Other (South of Sahara) / multi-countries initiative aims to protect the most vulnerable populations,"gambia, mali, senegal",,africa,2361275.09,2000000.0,2361275.09,Committed,ODA,cross-cutting,Grant,Other (Emergency response),True,False,False,False,False,False,False,False,False,False,False
Contribution to the UNDP for Agenda 2030,1,0,0,1,yes,"This project is related to the United Nations Development Program's efforts towards Agenda 2030, which includes several environmental goals.",1271,2018,italy,Africa / Cost Sharing Agreement for Sahel region,,africa,africa,1770956.32,1500000.0,1770956.32,Committed,ODA,cross-cutting,Grant,Other (Environment),True,False,False,False,False,False,False,False,False,False,False
"Emergency intervention in favor of refugees, IDPs, returnee populations and hosting communities affected by the Lake Ciad humanitarian crisis",0,0,0,0,no,Project involves providing humanitarian aid to various affected populations,1274,2018,italy,Niger / Lake Ciad humanitarian crisis,niger,,africa,1416765.05,1200000.0,1416765.05,Committed,ODA,adaptation,Grant,Other (Emergency response),True,False,False,False,False,False,False,False,False,False,False
"The Humanitarian Programme aims at protecting the most vulnerable Palestinians living in the Gaza Strip, Area C of the West Bank, East Jerusalem, Hebron H2 and UNRWA Camps, including refugees and those at risk of forcible transfer, strengthening their preparedness as well as their capacity to respond to the recurrent crises and shocks.",0,0,0,0,unclear,"The project aims at protecting people and strengthening their capacity to respond to crises, with no mention of environmental impacts or actions, making it hard to classify it as an environmental project.",1283,2018,italy,West Bank and Gaza Strip / Humanitarian Programme Gaza Strip,,asia,asia,1180637.54,1000000.0,1180637.54,Committed,ODA,cross-cutting,Grant,Other (Emergency response),False,False,False,False,False,True,False,False,False,False,False
– education and research aimed at water resources quality and quantity monitoring and modeling and on the related psychosocial problems,1,0,0,1,yes,"The project description mentions education, research, and monitoring of water resources, all of which can fall under environmental projects.",1285,2018,italy,Latin America and the Caribbean / Agua futura ,,"america, latin america and the caribbean",latin america and the caribbean,1178748.52,998400.0,1178748.52,Committed,ODA,adaptation,Grant,Water and Sanitation,False,True,False,False,False,False,False,False,False,False,False
"The aim of the program is to contribute to the success of the children in Tunisia, particulary thr most disadvanted, in terms of education, well-being, employability and social inclusion. To this end, a series of activities are envisaged by this program with thr specific objective of strenghthening the capacities of the Tunisian Ministry of Education through a transfer of experise, allowing a more trasparent, efficient and decentralized management of the education sector since the preparatory class and an improvement in teacher training and children skills.",0,0,0,0,unclear,"The project aims to improve education, well-being, employability and social inclusion of children in Tunisia, with a focus on the most disadvantaged. The activities include strengthening the capacities of the Tunisian Ministry of Education and improving teacher training and children's skills. The project does not have any specific environmental goals, but it may have indirect positive effects on the environment, for example, through the use of technology in education or the promotion of sustainable practices in schools.",1288,2018,italy,Tunisia / Teachers' training in Tunisia,tunisia,,africa,1020635.66,864478.4,1020635.66,Committed,ODA,cross-cutting,Grant,Other (Education),True,False,False,False,False,False,False,False,False,False,False
"The aim of the program is to contribute to the success of the children in Tunisia, particulary thr most disadvanted, in terms of education, well-being, employability and social inclusion. To this end, a series of activities are envisaged by this program with thr specific objective of strenghthening the capacities of the Tunisian Ministry of Education through a transfer of experise, allowing a more trasparent, efficient and decentralized management of the education sector since the preparatory class and an improvement in teacher training and children skills.",0,0,0,0,unclear,"The project aims to improve education, well-being, employability and social inclusion of children in Tunisia, with a focus on the most disadvantaged. The activities include strengthening the capacities of the Tunisian Ministry of Education and improving teacher training and children's skills. The project does not have any specific environmental goals, but it may have indirect positive effects on the environment, for example, through the use of technology in education or the promotion of sustainable practices in schools.",3083,2019,italy,Tunisia / Quality education for children in Tunisia,tunisia,,africa,658770.28,588292.8,658770.28,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
Emergency Initiative Supporting Environmental Displaced Persons and Host Communities to Strengthen Resilience in Oromia and Somali Regions in Ethiopia,1,0,0,1,yes,Supporting environmental displaced persons indicates addressing environmental issues,1290,2018,italy,Ethiopia / Strengthen Resilience in Oromia ,ethiopia,,africa,944510.04,800000.0,944510.04,Committed,ODA,cross-cutting,Grant,Other (Emergency response),True,False,False,False,False,False,False,False,False,False,False
"Construction of two kindergartens and a multipurpose room in Ngelebanga, a rural area of the diocese of Kikwit where 80% of the population is illiterate, especially women. The current buildings in straw and hay are unsafe buildings, which expose children and teachers to constant dangers and bad weather. The schools will be built in masonry and will be equipped with a multi-purpose hall with 550 seats for meetings, conferences, theatrical performances and various events, as well as toilets, a cistern in masonry and a plastic, a generator for electricity and solar panels , a satellite dish and a television as there is no television in the area.",1,0,0,1,unclear,"The project aims to build safe and stable structures for education, which will indirectly contribute to the environment by promoting literacy and reducing the use of natural resources in the long run. However, the direct environmental impact is not explicitly mentioned in the description.",1300,2018,italy,Democratic Republic of the Congo / Kindergarten with solar panels,congo,,africa,870675.32,737462.0,870675.32,Committed,ODA,mitigation,Grant,Other (Education),True,False,False,False,False,False,False,False,False,False,False
"The project aims at increasing the potential for economic opportunities and job creation in the productive sectors of the Central and Southern regions of the Somalia by focusing on four key actions: 1-promotion of agro-technology upgrading and entrepreneurship development; 2- delivery of vocational and technical skill trainings in trades providing support services; 3- facilitate access to technology, markets and finance; 4- provide institutional support in the area of agro-industrial technology transfer, investment promotion, entrepreneurship development.",0,0,0,0,unclear,"Project focuses on agricultural technology upgrading, vocational training, and access to markets and finance, which can potentially be done in an environmentally friendly way, but the description does not provide enough information to classify it as an environmental project.",1309,2018,italy,Somalia / UNIDO - Somalia Country Program 2017-2019,somalia,,africa,731945.69,619958.0,731945.69,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False
"The persistence of the humanitarian crisis in Libya has severely undermined child protection systems. The crisis has had profound consequences on children's rights, weakening national institutions, basic services, including schools and social structures, and thus the realization of children's rights, jeopardizing their physical and cognitive development. The project aims to strengthen child protection systems in Libya by promoting a favourable legal and social environment for a rights-based, fair, democratic and inclusive governance, with a particular focus on the rights of the child.",0,0,0,0,no,"The project aims to strengthen child protection systems and promote a rights-based, fair, democratic and inclusive governance with a focus on the rights of the child in Libya, which does not contain any environmental aspects.",1315,2018,italy,Libya / child protection systems in Libya,libya,,africa,708382.53,600000.0,708382.53,Committed,ODA,cross-cutting,Grant,Other (Government and civil society),True,False,False,False,False,False,False,False,False,False,False
"The project aims at supporting the Government of Jordan efforts to counteract the negative economic and social consequences of the Syria crisis in the Country, by providing access to employment opportunities to both Syrian and Jordanian youth through contributing to the implementation of priority conservation and preventive mitigation interventions in the 'Siq' of Petra.",1,0,0,1,yes,The project is an environmental project as it involves implementing conservation and preventive mitigation interventions in the Siq of Petra.,1316,2018,italy,Jordan / Intervention in Syrian crisis.,jordan,,asia,708382.53,600000.0,708382.53,Committed,ODA,cross-cutting,Grant,Other (Environment),False,False,False,False,False,True,False,False,False,False,False
"FASE contributes to the financing of the education sector at the national level of about 20% . It has proved to be a key instrument for the realization of the priority activities identified by the Strategic Plan for Education 2012-2016, now extended to 2019",0,0,0,0,unclear,The project description does not provide information about its environmental impact or focus.,1352,2018,italy,Mozambique / FASE,mozambique,,africa,472255.02,400000.0,472255.02,Committed,ODA,cross-cutting,Grant,Other (Education),True,False,False,False,False,False,False,False,False,False,False
"Bekou Fund is a trust Fund dedicated to supporting the socio-economic reconstruction process in the Central Afric Republic.

The main objective  is to support the resilience of vulnerable populations and to encourage the RCA stabilization process consistently through short-medium and long-term actions",0,0,0,0,unclear,"The project's description focuses on socio-economic reconstruction and stabilization process in the Central African Republic, with no explicit mention or focus on environmental aspects.",1353,2018,italy,Central African Republic / Bekou Fund ,central african republic,,africa,472255.02,400000.0,472255.02,Committed,ODA,cross-cutting,Grant,Other (Emergency response),True,False,False,False,False,False,False,False,False,False,False
"The project aims at providing vulnerable women in Egypt, Lebanon and Jordan with the necessary tools to achieve economic and social empowerment by creating concrete job and income opportunities. It will be done through specialized trainings aiming at enhancing/starting up their economic businesses, thanks to endowment funds and access to credit.",0,0,0,0,unclear,"The project aims at women empowerment through specialized trainings, endowment funds and access to credit but it does not mention any specific environmental benefit",1366,2018,italy,Middle East and North Africa / Access to credit for vulnerable women,"egypt, jordan, lebanon",,"africa, asia, multicontinent_or_global",455726.09,386000.0,455726.09,Committed,ODA,cross-cutting,Grant,Other (Government and civil society),True,False,False,False,False,True,False,False,False,True,False
"The project aims at providing vulnerable women in Egypt, Lebanon and Jordan with the necessary tools to achieve economic and social empowerment by creating concrete job and income opportunities. It will be done through specialized trainings aiming at enhancing/starting up their economic businesses, thanks to endowment funds and access to credit.",0,0,0,0,unclear,"The project aims at women empowerment through specialized trainings, endowment funds and access to credit but it does not mention any specific environmental benefit",2990,2019,italy,"Middle East, regional / ""Promoting Vulnerable Women's Economic and Social Empowerment in Lebanon, Jordan and Egypt""","egypt, jordan, lebanon",,"africa, asia, multicontinent_or_global",179168.0,160000.0,179168.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,True,False,False,False,True,False
supporting the resilient and inclusive development of the Districts of Lugela Derre Namarroi and Gilé in Zambezia - Mozambique,0,0,0,0,unclear,"The project description is focused on development, but does not mention any environmental aspects. Thus, it is unclear if the project is relevant for the environment.",1379,2018,italy,Mozambique / Agri-SMART,mozambique,,africa,382009.45,323562.0,382009.45,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False
