additional_information,ESGBERT/EnvRoBERTa-environmental_label,climatebert/environmental-claims_label,climatebert/renewable_label,all,relevant_for_the_environment,reason,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified
"Emergency intervention in favor of refugees, IDPs, returnee populations and hosting communities affected by the Lake Ciad humanitarian crisis",0,0,0,0,no,Project involves providing humanitarian aid to various affected populations,1274,2018,italy,Niger / Lake Ciad humanitarian crisis,niger,,africa,1416765.05,1200000.0,1416765.05,Committed,ODA,adaptation,Grant,Other (Emergency response),True,False,False,False,False,False,False,False,False,False,False
"The persistence of the humanitarian crisis in Libya has severely undermined child protection systems. The crisis has had profound consequences on children's rights, weakening national institutions, basic services, including schools and social structures, and thus the realization of children's rights, jeopardizing their physical and cognitive development. The project aims to strengthen child protection systems in Libya by promoting a favourable legal and social environment for a rights-based, fair, democratic and inclusive governance, with a particular focus on the rights of the child.",0,0,0,0,no,"The project aims to strengthen child protection systems and promote a rights-based, fair, democratic and inclusive governance with a focus on the rights of the child in Libya, which does not contain any environmental aspects.",1315,2018,italy,Libya / child protection systems in Libya,libya,,africa,708382.53,600000.0,708382.53,Committed,ODA,cross-cutting,Grant,Other (Government and civil society),True,False,False,False,False,False,False,False,False,False,False
Four technicians from Libya attended the training course for two months in Italy.,0,0,0,0,no,The project does not contain any environmental initiatives or technologies.,2137,2018,italy,Libya / Among the activity of the Archaeological Mission in Libya of the Urbino University in 2016 we made a training course of restoration and preservation of the archeological site in emergency. ,libya,,africa,6139.32,5200.0,6139.32,Committed,ODA,cross-cutting,Grant,Other (Environment),True,False,False,False,False,False,False,False,False,False,False
"These agreements promote the exchange of faculty, students, technical and administrative staff in a specific field of study and research, and other types of collaboration.",0,0,0,0,no,"Description focuses on academic collaboration, no explicit environmental focus",2764,2019,italy,Afghanistan / Cultural agreement between UNIFI and the University of Herat (field of Geography),afghanistan,,asia,1791.68,1600.0,1791.68,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
"These agreements promote the exchange of faculty, students, technical and administrative staff in a specific field of study and research, and other types of collaboration.",0,0,0,0,no,"Description focuses on academic collaboration, no explicit environmental focus",8772,2020,italy,Argentina / Cultural agreement between UNIFI and Universidad Nacional de Misiones - Argentina (field of agriculture),argentina,,latin america and the caribbean,3197.6,2800.0,3197.6,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
"These agreements promote the exchange of faculty, students, technical and administrative staff in a specific field of study and research, and other types of collaboration.",0,0,0,0,no,"Description focuses on academic collaboration, no explicit environmental focus",9431,2020,italy,Morocco / Cultural agreement between UNIFI and the Université Internationale de Rabat – UIR; field of Nature & Culture,morocco,,africa,626.27,548.4,626.27,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"These agreements promote the exchange of faculty, students, technical and administrative staff in a specific field of study and research, and other types of collaboration.",0,0,0,0,no,"Description focuses on academic collaboration, no explicit environmental focus",40679,2016,italy,Ecuador / Ecuador / America (South America) / Cultural agreement between UNIFI  and Universidad Politecnica Salesiana  ,ecuador,,latin america and the caribbean,1658.74,1500.0,1658.74,Committed,ODA,adaptation,Grant,Other (Education post-secondary),False,True,False,False,False,False,False,False,False,False,False
"These agreements promote the exchange of faculty, students, technical and administrative staff in a specific field of study and research, and other types of collaboration.",0,0,0,0,no,"Description focuses on academic collaboration, no explicit environmental focus",40680,2016,italy,Guatemala / Guatemala / America (North & Central America) / Cultural agreement between UNIFI  and Universidad San Carlos de Guatemala  ,guatemala,,latin america and the caribbean,1105.83,1000.0,1105.83,Committed,ODA,adaptation,Grant,Other (Education post-secondary),False,True,False,False,False,False,False,False,False,False,False
"These agreements promote the exchange of faculty, students, technical and administrative staff in a specific field of study and research, and other types of collaboration.",0,0,0,0,no,"Description focuses on academic collaboration, no explicit environmental focus",40692,2016,italy,Argentina / Argentina / America (South America) / Cultural agreement between UNIFI  and  Universidad del Salvador ,"el salvador, argentina",,latin america and the caribbean,3753.18,3394.0,3753.18,Committed,ODA,cross-cutting,Grant,Other (Education post-secondary),False,True,False,False,False,False,False,False,False,False,False
"These agreements promote the exchange of faculty, students, technical and administrative staff in a specific field of study and research, and other types of collaboration.",0,0,0,0,no,"Description focuses on academic collaboration, no explicit environmental focus",40693,2016,italy,Ethiopia / Ethiopia / Africa (South of Sahara) / Cultural agreement between UNIFI (Dpt. GESAAF)and Mekelle University ,ethiopia,,africa,2875.15,2600.0,2875.15,Committed,ODA,cross-cutting,Grant,Other (Education post-secondary),True,False,False,False,False,False,False,False,False,False,False
